2024-04-03 00:36:37,047: root: INFO: MLTrader : Executing the initialize lifecycle method
2024-04-03 00:36:38,975: root: INFO: Current backtesting datetime 2023-12-15 08:30:00-05:00
2024-04-03 00:36:38,977: root: INFO: MLTrader : Executing the before_market_opens lifecycle method
2024-04-03 00:36:38,978: root: INFO: Current backtesting datetime 2023-12-15 09:30:00-05:00
2024-04-03 00:36:38,978: root: INFO: MLTrader : Executing the before_starting_trading lifecycle method
2024-04-03 00:36:38,980: root: INFO: [34mMLTrader : Executing the on_trading_iteration lifecycle method at 2024-04-03 00:36:38[0m
2024-04-03 00:36:38,980: root: WARNING: quote is not implemented for YahooData, but USD was passed as the quote
2024-04-03 00:36:38,990: root: WARNING: quote is not implemented for YahooData, but USD was passed as the quote
2024-04-03 00:36:41,274: root: INFO: [32mNew market order of | 106.0 SPY buy | at price $563.3879882812499 of class bracket with status unprocessed was submitted.[0m
2024-04-03 00:36:41,280: root: INFO: [34mMLTrader : Trading iteration ended at 2024-04-03 00:36:41[0m
2024-04-03 00:36:41,280: root: INFO: Getting historical prices for SPY, 1 bars, 
2024-04-03 00:36:41,280: root: WARNING: quote is not implemented for YahooData, but USD was passed as the quote
2024-04-03 00:36:41,281: root: WARNING: quote is not implemented for YahooData, but USD was passed as the quote
2024-04-03 00:36:41,282: root: INFO: market order of | 106.0 SPY buy | at price $563.3879882812499 of class bracket with status new was sent to broker backtesting
2024-04-03 00:36:41,282: root: INFO: market order of | 106.0 SPY buy | at price $563.3879882812499 of class bracket with status new was sent to broker backtesting
2024-04-03 00:36:41,282: root: INFO: [32mFilled Transaction: buy 106.0 of SPY at 469.48999023 USD per share[0m
2024-04-03 00:36:41,282: root: INFO: market order of | 106.0 SPY buy | at price $563.3879882812499 of class bracket with status new was filled
2024-04-03 00:36:41,288: root: INFO: MLTrader : [34mSleeping for 86400 seconds[0m
2024-04-03 00:36:41,290: root: INFO: Current backtesting datetime 2023-12-15 16:00:00-05:00
2024-04-03 00:36:41,290: root: INFO: Current backtesting datetime 2023-12-16 09:30:00-05:00
2024-04-03 00:36:41,293: root: INFO: [34mMLTrader : The market is not currently open, skipping this trading iteration[0m
2024-04-03 00:36:41,293: root: INFO: Getting historical prices for SPY, 1 bars, 
2024-04-03 00:36:41,294: root: WARNING: quote is not implemented for YahooData, but USD was passed as the quote
2024-04-03 00:36:41,295: root: WARNING: quote is not implemented for YahooData, but USD was passed as the quote
2024-04-03 00:36:41,295: root: INFO: Getting historical prices for SPY, 1 bars, 
2024-04-03 00:36:41,295: root: WARNING: quote is not implemented for YahooData, but USD was passed as the quote
2024-04-03 00:36:41,297: root: WARNING: quote is not implemented for YahooData, but USD was passed as the quote
2024-04-03 00:36:41,298: root: INFO: Getting historical prices for SPY, 1 bars, 
2024-04-03 00:36:41,298: root: WARNING: quote is not implemented for YahooData, but USD was passed as the quote
2024-04-03 00:36:41,299: root: WARNING: quote is not implemented for YahooData, but USD was passed as the quote
2024-04-03 00:36:41,299: root: INFO: Getting historical prices for SPY, 1 bars, 
2024-04-03 00:36:41,300: root: WARNING: quote is not implemented for YahooData, but USD was passed as the quote
2024-04-03 00:36:41,300: root: WARNING: quote is not implemented for YahooData, but USD was passed as the quote
2024-04-03 00:36:41,301: root: INFO: Current backtesting datetime 2023-12-16 09:29:00-05:00
2024-04-03 00:36:41,302: root: INFO: Getting historical prices for SPY, 1 bars, 
2024-04-03 00:36:41,302: root: WARNING: quote is not implemented for YahooData, but USD was passed as the quote
2024-04-03 00:36:41,303: root: WARNING: quote is not implemented for YahooData, but USD was passed as the quote
2024-04-03 00:36:41,304: root: INFO: Getting historical prices for SPY, 1 bars, 
2024-04-03 00:36:41,304: root: WARNING: quote is not implemented for YahooData, but USD was passed as the quote
2024-04-03 00:36:41,304: root: WARNING: quote is not implemented for YahooData, but USD was passed as the quote
2024-04-03 00:36:41,306: root: INFO: Current backtesting datetime 2023-12-16 09:29:00-05:00
2024-04-03 00:36:41,306: root: INFO: MLTrader : Executing the after_market_closes lifecycle method
2024-04-03 00:36:41,306: root: INFO: Getting historical prices for SPY, 1 bars, 
