datetime,portfolio_value,cash,return
2024-04-01 09:30:00-04:00,100000.0,100000.0,
2024-04-02 09:30:00-04:00,99944.09973144531,94761.69982910156,-0.0005590026855468722
2024-04-03 09:30:00-04:00,99944.09973144531,94761.69982910156,0.0
2024-04-02 15:12:00-04:00,99944.09973144531,94761.69982910156,0.0
2024-04-03 15:12:00-04:00,99944.09973144531,94761.69982910156,0.0
2024-04-02 15:49:00-04:00,99944.09973144531,94761.69982910156,0.0
2024-04-03 15:49:00-04:00,99944.09973144531,94761.69982910156,0.0
2024-04-02 15:25:00-04:00,99944.09973144531,94761.69982910156,0.0
2024-04-03 15:25:00-04:00,99944.09973144531,94761.69982910156,0.0
2024-04-02 15:01:00-04:00,99944.09973144531,94761.69982910156,0.0
2024-04-03 15:01:00-04:00,99944.09973144531,94761.69982910156,0.0
2024-04-02 15:38:00-04:00,99944.09973144531,94761.69982910156,0.0
2024-04-03 15:38:00-04:00,99944.09973144531,94761.69982910156,0.0
2024-04-02 15:14:00-04:00,99944.09973144531,94761.69982910156,0.0
2024-04-03 15:14:00-04:00,99944.09973144531,94761.69982910156,0.0
2024-04-02 15:51:00-04:00,99944.09973144531,94761.69982910156,0.0
2024-04-03 15:51:00-04:00,99944.09973144531,94761.69982910156,0.0
2024-04-02 15:27:00-04:00,99944.09973144531,94761.69982910156,0.0
2024-04-03 15:27:00-04:00,99944.09973144531,94761.69982910156,0.0
2024-04-02 15:03:00-04:00,99944.09973144531,94761.69982910156,0.0
2024-04-03 15:03:00-04:00,99944.09973144531,94761.69982910156,0.0
2024-04-02 15:40:00-04:00,99944.09973144531,94761.69982910156,0.0
2024-04-03 15:40:00-04:00,99944.09973144531,94761.69982910156,0.0
2024-04-02 15:16:00-04:00,99944.09973144531,94761.69982910156,0.0
2024-04-03 15:16:00-04:00,99944.09973144531,94761.69982910156,0.0
2024-04-02 15:53:00-04:00,99944.09973144531,94761.69982910156,0.0
2024-04-03 15:53:00-04:00,99944.09973144531,94761.69982910156,0.0
2024-04-02 15:29:00-04:00,99944.09973144531,94761.69982910156,0.0
2024-04-03 15:29:00-04:00,99944.09973144531,94761.69982910156,0.0
2024-04-02 15:05:00-04:00,99944.09973144531,94761.69982910156,0.0
2024-04-03 15:05:00-04:00,99944.09973144531,94761.69982910156,0.0
2024-04-02 15:42:00-04:00,99944.09973144531,94761.69982910156,0.0
2024-04-03 15:42:00-04:00,99944.09973144531,94761.69982910156,0.0
2024-04-02 15:18:00-04:00,99944.09973144531,94761.69982910156,0.0
2024-04-03 15:18:00-04:00,99944.09973144531,94761.69982910156,0.0
2024-04-02 15:55:00-04:00,99944.09973144531,94761.69982910156,0.0
2024-04-03 15:55:00-04:00,99944.09973144531,94761.69982910156,0.0
2024-04-02 15:31:00-04:00,99944.09973144531,94761.69982910156,0.0
